,Unnamed: 0,No.,Comment,Label
4738,4738,4739,warzone,0
3681,3681,3682,jackz cười vãi lồn,1
5619,5619,5620,ok,0
3237,3237,3238,difu chém,0
7177,7177,7178,còi xe ghét thiệt:))))),0
6173,6173,6174,tele,0
3465,3465,3466,enchan bóp vãi lồn,1
233,233,234,lào bắn tín vãi lồn,1
6183,6183,6184,đầu rẻ rách,1
2611,2611,2612,tôm gáy,0
6697,6697,6698,đụ_mẹ đánh cặc đánh,1
1352,1352,1353,bắn studio,0
2811,2811,2812,@ hoàng nguyễn_thấy ksh krish ngài awesome,0
4657,4657,4658,vang vãi chưởng bình_thường,0
6487,6487,6488,làm gì bá đần lẹo lưỡi,2
6393,6393,6394,,0
4132,4132,4133,ngài tựa tựa cóc,2
5050,5050,5051,lpl mở_rộng,0
3499,3499,3500,farm,0
6386,6386,6387,nhà_tài_trợ áo kìa,0
2566,2566,2567,thiên_đường hq dám nhảy thu,0
2879,2879,2880,23h đi gà,0
3970,3970,3971,ngài bảo 500 hôi lông awesome,0
4767,4767,4768,link nhac anh em,0
7334,7334,7335,đánh ls đường đi,0
541,541,542,jampi cầm op lạ:)),0
135,135,136,vãi lồn,1
4921,4921,4922,"vãi kc1 tối_ưu sát_thương udyr, đánh atrox tù",0
2908,2908,2909,500k = 1 ga` roi`,0
4652,4652,4653,sống????,0
5445,5445,5446,top test tướng,0
3106,3106,3107,ca_sĩ con cặc town,1
4470,4470,4471,thằng s0mple bố xứ body,2
7755,7755,7756,xíu slayder bắn,0
1927,1927,1928,hev game cửa fl,0
1150,1150,1151,căng vãi lồn,1
6309,6309,6310,đéo,1
1003,1003,1004,lynx đẹp_trai yêu lynx,0
6503,6503,6504,map tao đánh,0
740,740,741,t 2 slot ok đòi 3 slot?,0
710,710,711,thua cút,0
198,198,199,cái lồn má fan cup hâm_mộ quen_quen,1
5546,5546,5547,chuột cướp rồng,0
6829,6829,6830,se kiep danh,2
3431,3431,3432,dota thế_này:))),0
5263,5263,5264,t choáng mạng,0
300,300,301,hiếu bữa đi og vô khách_sạn dị_anh,0
3638,3638,3639,hôm nay bom co cast nhi mọi người,0
7584,7584,7585,đánh cánh đỉnh,0
5191,5191,5192,đánh ngu,1
3658,3658,3659,hốp hốp,0
3460,3460,3461,mấy thằng hater?,0
4906,4906,4907,mấy gà se,0
638,638,639,đi móc chết: ((,0
236,236,237,công_nhận bleed vòng tận top 8 apac đỉnh vãi lồn,1
3543,3543,3544,trượt:)),0
815,815,816,round 10,0
3645,3645,3646,hổ outplay vãi lồn,1
6824,6824,6825,nâng 1 khẩu súng bắn dame,0
5570,5570,5571,lịch_sử đấu 20 game thắng,0
1882,1882,1883,h bắn nổi,0
7216,7216,7217,rank gi day ong,0
7454,7454,7455,gam gáy ác quốc_nội lắm,2
2573,2573,2574,hq thái bảng quyền won cúp coi,0
432,432,433,! tournament,0
6941,6941,6942,tham_gia thành_viên ráng spam ban,0
4129,4129,4130,nổ 1 timber liệm mẹ luông,1
7050,7050,7051,1000 key,0
2854,2854,2855,2 già,0
4154,4154,4155,1x,0
563,563,564,đi kiếm lí_do,0
4885,4885,4886,golden guardians 2-0 gam đần golden guardians 2-0 gam đần golden guardians 2-0 gam đần,2
4371,4371,4372,slark real,0
4213,4213,4214,2 kèo ta,0
1604,1604,1605,việt nam cổ_vũ việt nam,0
2433,2433,2434,s m bk t co kien thuc,0
2353,2353,2354,out,0
7311,7311,7312,mắt tím team,0
2730,2730,2731,vợ t đấy,0
2610,2610,2611,tôm bình_tĩnh win bacon hẵng gáy,0
832,832,833,anh chị em mua op =]],0
7279,7279,7280,kéo rank đồng,0
5388,5388,5389,c9 bảo đánh game 5 tụi kéo_dài nỗi đau,0
406,406,407,give me nát,0
2455,2455,2456,cố,0
3765,3765,3766,lao đầu vô silent,0
6118,6118,6119,team chửi,0
4786,4786,4787,dame cặc,1
999,999,1000,11h20 nha,0
5823,5823,5824,biến_thái,0
1317,1317,1318,ari gánh,0
446,446,447,"liquid đi, kiểu",0
7099,7099,7100,all-in đi rừng,0
5650,5650,5651,thằng admin mày đồ thần_thoại,0
2945,2945,2946,am:)),0
6134,6134,6135,yone 36 thằng,0
2539,2539,2540,thane đi rừng,0
3955,3955,3956,nãy nhảy bụi bara sight ulti,0
5970,5970,5971,tông mù mắt,0
6327,6327,6328,,0
6565,6565,6566,admin tao unti trúng,0
3785,3785,3786,skadi am nổ phát chết team,0
6245,6245,6246,,0
2812,2812,2813,@ vtv tác_hại đớ awesome,2
5587,5587,5588,"trận t coi anh em, lát tụi đánh nhà_cái ff 7 thắng ngược",0
7458,7458,7459,zeri đánh v đéo sợ,0
1401,1401,1402,bình_luận 1 chiều,0
6576,6576,6577,ward,0
4828,4828,4829,địt cụ mày cút con_mẹ mày đi,2
2981,2981,2982,enchant,0
4789,4789,4790,đụ mẹ quái_vật,1
3366,3366,3367,dạo cờ_lê ngáo đá anh em,2
2638,2638,2639,giải ff sps team expand khu chẳng hiểu sao chiêu,0
2531,2531,2532,thái bắt,0
6492,6492,6493,ngu lồn,1
3933,3933,3934,"mũ faze, áo mouz = > fan niko:)))",0
6913,6913,6914,"hải_dương bình thường, 2 kìa",0
6871,6871,6872,thẻ hỏng,0
2384,2384,2385,nhục,0
7656,7656,7657,gà vãi cặc,1
6912,6912,6913,con cặc v??,1
772,772,773,góc scream,0
2147,2147,2148,mây 2k5 trai,0
7999,7999,8000,cứu kanavi thọt con mẹ nó luôn: v,0
5352,5352,5353,lắm vãi lồn,1
4810,4810,4811,bá điền bình_tĩnh bl tròn vành tiếng giúp,0
6264,6264,6265,sp tác_dụng,0
3620,3620,3621,hề vãi lồn thề,1
2099,2099,2100,ly mặc cgi kết bạn,2
577,577,578,việt nam thần_đồng hi_vọng tiếng_nói sea,0
2179,2179,2180,mc hôm nay ngực anh em,2
3730,3730,3731,kick s1mple di,0
3599,3599,3600,hài ác: v,0
215,215,216,hôm_qua yoru vãi cả lồn:)),1
7400,7400,7401,fl,0
5329,5329,5330,dive chi,0
6221,6221,6222,b,0
3209,3209,3210,chửi team?,0
7745,7745,7746,gam nper,0
729,729,730,2 sl hên,0
4489,4489,4490,the co,0
3576,3576,3577,ngài,0
488,488,489,đồng_đội tạ gánh content hơi,0
3234,3234,3235,cố_gắng,0
5275,5275,5276,thằng ock chó ls n ngu n phản ganh 2 * * * * chúng_mày bố cân 3,2
6733,6733,6734,mày buồn,0
676,676,677,liquid anh em đi ngủ:))),0
1949,1949,1950,hôm_qua h hg jiro coi thua mấy_đời,0
1506,1506,1507,chào mấy cháu,0
6059,6059,6060,thằng rừng đéo,1
1796,1796,1797,fl giao_tranh yếu,0
2961,2961,2962,am gặt ngài,0
6133,6133,6134,yone 17 cua yone 36,0
7240,7240,7241,auto win 6 @ @,0
7068,7068,7069,chất dơi vler,0
3286,3286,3287,ghệ smoya,0
306,306,307,coi híu bắn quá_chừng,2
3129,3129,3130,rp,0
6400,6400,6401,top,0
3037,3037,3038,bật tab seg coi live dở,0
723,723,724,việt nam view = 110 người ta,0
8082,8082,8083,4 vs5 tê_liệt,0
2037,2037,2038,bt team boyah việt_nam,0
356,356,357,furia:),0
7988,7988,7989,kanavi blank,0
6970,6970,6971,tâm lắm,0
5106,5106,5107,dcm đánh blue máu,1
6062,6062,6063,sủa lắm,1
6947,6947,6948,lẫn tiếng kp mấy,0
1243,1243,1244,"4 team viet nam mùa ok, hi_vọng pe 2e bay",0
3238,3238,3239,cỡ dó,0
4181,4181,4182,ốp đầu chết =)),0
5771,5771,5772,hở tóp,0
3015,3015,3016,bắn châm ngại,0
4319,4319,4320,sắp_xếp vãi lồn =))),1
1270,1270,1271,adc đánh_bạn,0
137,137,138,tranh top top hài vãi cặc,1
1011,1011,1012,victory civil war,0
3864,3864,3865,máu hề pháp,0
6882,6882,6883,mép hơi ẩu,0
2801,2801,2802,@ cuong hdi ngài con cặc bro awesome 140 gold hổ đấy,0
4946,4946,4947,ces cân_nhắc đội_hình 4 nô_lệ,0
4179,4179,4180,ong nhin logo tren stream di,0
5753,5753,5754,cọc bel vụ chặn lính,0
7542,7542,7543,"ngài_ren:: ""vcs mấy thằng tưởng giỏi tinh_thần cầu tiến""",2
1704,1704,1705,dnp hi_sinh,0
4817,4817,4818,admin hành,0
7520,7520,7521,chấp 3 mạng,0
6952,6952,6953,thanh_trừng lẫn,0
3224,3224,3225,clma lứng,1
5833,5833,5834,tool lộ vãi lồn,1
5339,5339,5340,,0
3187,3187,3188,chidori,0
3879,3879,3880,mấy pháp trông tryhard,0
2358,2358,2359,_panda ngu nghỉ đi,2
6688,6688,6689,lồn mẹ,1
7015,7015,7016,7tr 25tr: v,0
157,157,158,đá cười,1
2104,2104,2105,lyly ốc đen_thui,2
3391,3391,3392,đéo đồ đánh mana,1
2617,2617,2618,trả_thù mấy đứa.,0
2345,2345,2346,ok rikaki,0
1526,1526,1527,chớp,0
1225,1225,1226,2 bình_luận_viên im mồm,2
6870,6870,6871,áo chip già,0
1298,1298,1299,alpha gái,0
736,736,737,người ta 3 sl: v,0
6334,6334,6335,tận 3 thằng ngu lận,2
1034,1034,1035,fanboiz infinity t 20000 nam=]]]]]]]]],0
1710,1710,1711,đọc nhầm,0
2148,2148,2149,mây 2k5 thi ổn happy end:)),0
4178,4178,4179,kêu khổ vãi vẫu,0
1324,1324,1325,vãi,0
4076,4076,4077,hệ kẹt...,0
3973,3973,3974,ngài bay_nhảy khắp_nơi,0
5686,5686,5687,tao chủ quqan,0
271,271,272,đ chào_anh,1
3357,3357,3358,đánh slark check ward fanbòi cười,0
2331,2331,2332,chửi,0
4790,4790,4791,vãi cặc l bọn garena chia team,1
7735,7735,7736,lói lói lồn,1
4468,4468,4469,thằng bm dont pick me 458 awesome,0
5027,5027,5028,tốc biến tốc vãi lồn,1
4336,4336,4337,shox dep trai vaio,0
7073,7073,7074,thắng khóc,0
1210,1210,1211,0 kil việt nam,0
1537,1537,1538,8 bùa,0
3053,3053,3054,fan atralis bắt: (((,0
5043,5043,5044,"1 ván trình,, ()",1
5637,5637,5638,câm mồm,1
7241,7241,7242,trận lee,0
1121,1121,1122,adu ngài lên_tiếng:)),1
799,799,800,=)),0
4764,4764,4765,", đ awesome",1
7455,7455,7456,doran hiện nguyên_hình,0
7276,7276,7277,game sylas nua đi coi mắt,0
442,442,443,,0
4354,4354,4355,simple đổi team giải,0
2993,2993,2994,astralis disband,0
6585,6585,6586,mid tao,0
370,370,371,kiện,0
1760,1760,1761,evos lun fl ok mấy,0
4943,4943,4944,gam bọn chưq học 2 chấp,2
7758,7758,7759,giao_tranh ác,0
7912,7912,7913,hành =)))),0
1050,1050,1051,đi tư_tưởng 2-0 ban,0
407,407,408,"we miss gambit, acend: ((",0
1870,1870,1871,giải bắn vô_địch chứng kết hả anh em,0
2819,2819,2820,1,0
282,282,283,cu ngổng kìa,1
136,136,137,lồn khùng,2
5915,5915,5916,team late cag win,0
6010,6010,6011,chờ đi hồi_tưởng,0
4717,4717,4718,void massage,0
1328,1328,1329,bac gau fake,0
6488,6488,6489,tao giết anie,0
5297,5297,5298,đấy,0
5485,5485,5486,16p zeri 1 đồ @ @,0
675,675,676,phantom:))),0
3061,3061,3062,bkb + silen,0
6208,6208,6209,cặc def,1
1746,1746,1747,elu,0
185,185,186,cái đèo gì????,1
6985,6985,6986,bật nhạc sàn máu,0
489,489,490,bố player toàn xài não đọ mấy ông_trẻ,0
3738,3738,3739,chim chán,0
3891,3891,3892,medu đánh am quạt đực đi mua ô xy dần,0
3596,3596,3597,ha,0
6499,6499,6500,mẹ bay,0
6214,6214,6215,,0
1933,1933,1934,hi_vọng chồng 4 team việt nam,0
540,540,541,out trình,0
7915,7915,7916,độ quét trụ =)),0
7151,7151,7152,đổ xăng hộ:)),0
320,320,321,ông_già chào cắn cu đoá,2
4475,4475,4476,thằng nyx account buỷe report đi,0
7328,7328,7329,2q 1 đứa vãi lồn,1
7622,7622,7623,thua tuột quần chênh 2k,0
8079,8079,8080,zeus bố,0
5589,5589,5590,dạng háng to,1
4581,4581,4582,trận ngài cầm carry méo đồ dame,0
4139,4139,4140,keeper spam q liên tuc,0
3517,3517,3518,g thọ thưa v... nghi,0
734,734,735,khu apac doanh_thu nhật,0
5487,5487,5488,đánh admin,0
79,79,80,xao lồn ghê =))))),1
2693,2693,2694,vasto bắn ghê,0
6998,6998,6999,chuyên_nghiệp vãi lồn: d chia phim,1
6057,6057,6058,dfm càng_ngày_càng yếu,0
5117,5117,5118,,0
1205,1205,1206,@ nhan van,0
1122,1122,1123,vãi lồn neon,2
5328,5328,5329,heal đi,0
3824,3824,3825,ma:))),0
5452,5452,5453,afk,0
5222,5222,5223,cướp,0
6316,6316,6317,nio tốc,0
1102,1102,1103,vãi cặc đéo,1
5180,5180,5181,all top,0
798,798,799,jampi ope =)) g,0
4216,4216,4217,dẻo awesome,0
3321,3321,3322,cười vãi lồn,1
4938,4938,4939,hão não,0
2502,2502,2503,taem sgp vô_địch 🇻🇳,0
8051,8051,8052,ngộ cứu thầy mấy đứa:))),0
711,711,712,cái_trò nhảy thùng chuột classic,0
1955,1955,1956,hq tóp 12,0
264,264,265,đánh đéo gắn_kết,1
7155,7155,7156,dồi,0
7282,7282,7283,ổn_áp nguyện đẹp zai,0
1956,1956,1957,hq máu tank bo đi đừg bắn cầm súng nhục 🙏,0
1268,1268,1269,admin phong_độ,0
5761,5761,5762,arhi ác,0
4481,4481,4482,rio chán vãi cả lồn,1
6112,6112,6113,lồn mả mẹ mày sủa lắm,2
3689,3689,3690,cứu,0
745,745,746,in đô chết,0
2726,2726,2727,vm vô_địch giải quốc_nội thái lạ v,0
4483,4483,4484,thau,0
3168,3168,3169,chê awesome,2
4003,4003,4004,ngài đừng spam. ngứa_mắt,0
6153,6153,6154,tao,0
7229,7229,7230,hien gian tren map,0
5981,5981,5982,buff dame tao,0
5778,5778,5779,game crack sinh boss ngẫu_nhiên,0
7075,7075,7076,lên_đường,0
2565,2565,2566,vtv 360 wc,0
5877,5877,5878,tao mày chửi,0
804,804,805,choke op:)),0
1142,1142,1143,vãi cả lồn sova chim chamber kìa:)),1
2381,2381,2382,sgp,0
3665,3665,3666,huy_chương đồng seagame đi nghĩa vụ quân sự con cặc awesome,1
1850,1850,1851,game 3 🤣🤣,0
2657,2657,2658,game 1,0
7516,7516,7517,tí yado báo ngya,0
5920,5920,5921,đánh lồn laiu,1
7568,7568,7569,nhịp thở,0
4950,4950,4951,yado thở oxi con mẹ nó rồi,1
3513,3513,3514,free farm feed,0
2311,2311,2312,niềm hãnh_diện 0 kill,0
5879,5879,5880,hài vãi lồn,1
3623,3623,3624,heavy armor,0
3999,3999,4000,ngài đập đầu lan_can,0
7706,7706,7707,doran trở bản_chất,0
962,962,963,lext ton đi_lộc,0
6374,6374,6375,lee ngu vãi cặc,2
724,724,725,bao h view valorant việt_nam 20k view:)),0
2938,2938,2939,ném lửa đấy =)),0
1472,1472,1473,bút_bi le dần,2
2979,2979,2980,giàu vãi cặc,1
5140,5140,5141,lẻ cặc,1
1287,1287,1288,", miễn việt nam thắng",0
6164,6164,6165,dốt vãi lồn,1
1327,1327,1328,gấu chào con cặc,1
1039,1039,1040,jeryitaly on top,0
1667,1667,1668,niềm sgp,0
6922,6922,6923,gengu truyền_thống quốc_tế lót đường,0
3268,3268,3269,cóc quỷ vãi lồn,1
2149,2149,2150,mấy favelas nhồng vãi lồn,1
5911,5911,5912,đùa tý cangh,0
2200,2200,2201,metachi ngoi ròi: v,0
7403,7403,7404,stream rễ thần,0
7417,7417,7418,áp_lực thành_công,0
138,138,139,phe vai làm gì,1
2257,2257,2258,nge 2thằng mệt,2
402,402,403,gambit kẹt visa,0
7301,7301,7302,gáy:)),0
6195,6195,6196,sợ chạy,0
4832,4832,4833,riết game nát vãi cặc,1
7160,7160,7161,sếp lật_mặt lật bàn_tay:))),0
3875,3875,3876,may gio ban vay anh_em oi,0
5078,5078,5079,rồng đi,0
2244,2244,2245,veres kéo trúng mai veres sm,0
2423,2423,2424,,0
4298,4298,4299,chậm,0
342,342,343,đánh stage xong 2 thành_viên,0
1435,1435,1436,bồn bình enzo cân 100 sát quỷ đoàn,0
6969,6969,6970,dao,0
3851,3851,3852,mas,0
2568,2568,2569,thời bắn to m chẳng hiểu sao????,0
6751,6751,6752,gank n ngu hả j4,2
1938,1938,1939,thua chả,0
2113,2113,2114,m khên fw fw tạch,0
1552,1552,1553,chồng pải việt nam co wiev,0
534,534,535,việt nam bữa giải university redneval hành mấy anh em bã. thái_lan vã te_tua,0
2771,2771,2772,yếu vãi lồn pick tướng tướng đánh tank,1
192,192,193,onic đen vãi lồn xia cút =)))),1
1132,1132,1133,"ult, kia hoảng_loạn vãi lồn",1
1247,1247,1248,5 tỷ chớp ngoan đi,0
1128,1128,1129,vãi lồn ferari peek,1
7669,7669,7670,gam mua 5 hộp cơm gà: < v ngán chết,0
1992,1992,1993,jiro bắt vio pha,0
8032,8032,8033,tê ta. hang hơi trật trội,0
3297,3297,3298,creep lồn,1
391,391,392,sage viper mid đồ,0
566,566,567,đi đi,0
3253,3253,3254,vy bet ăn_đậm sủi rồiawesome,0
874,874,875,lệnh kênh:! bracket;! caster;! live;! matchday;! schedule;! tournament;! teams! esports,0
1376,1376,1377,bảo dân_trí tự_ái,1
1628,1628,1629,công phượng sân anh em,0
6590,6590,6591,kiểm_soát 3r win,0
1893,1893,1894,pe,0
6014,6014,6015,đi,0
7272,7272,7273,nhẹ 30 xác đi,0
6185,6185,6186,se đánh msi,0
4511,4511,4512,cook giùm,0
64,64,65,khít,0
821,821,822,jampi game 1 breach op tín hơi ngộp,0
5342,5342,5343,xong lui,0
6472,6472,6473,mẹ trâu kìa,0
2462,2462,2463,sát_thủ giải tưởng dể đánh rank:))),0
5108,5108,5109,lưỡi ngắn,1
1940,1940,1941,hoangtd vgm vô_học elsu: v,0
7284,7284,7285,đi tay_vịn,1
716,716,717,làm_vậy rito lỗ,0
5658,5658,5659,ke tao game,0
7848,7848,7849,nhẫn:)),0
2304,2304,2305,vm mấy lắm,0
7159,7159,7160,thôi_miên cực:))),0
1470,1470,1471,buồn_ngủ,0
1677,1677,1678,giải,0
2778,2778,2779,xoá i,0
1548,1548,1549,ket goi ten sgp,0
1997,1997,1998,jiro hôm_nay cháy v,0
1078,1078,1079,game 2-1,0
3496,3496,3497,farm long đền trông khó_chịu vãi lồn,1
1395,1395,1396,bình = tôm = ri???,0
2040,2040,2041,keo,0
5109,5109,5110,bọn củ lồn,1
303,303,304,helo hiếu đẹp đẹp chó,2
790,790,791,già lắm,0
4275,4275,4276,rupture phi giáo vãi lồn awesome,1
4397,4397,4398,stun quyết_đoán,0
543,543,544,quẩy kìa,0
818,818,819,đèn ngủ đẹp đấy:)),0
7172,7172,7173,to tròn=)),0
2504,2504,2505,tâm_lí,0
5413,5413,5414,okie yêu,0
2598,2598,2599,toàn,0
2131,2131,2132,mai bắn,0
4115,4115,4116,nice swap...,0
1355,1355,1356,bắn online,0
7357,7357,7358,"3 0 nhẹ_nhàng, gen g vô_địch",0
6066,6066,6067,sủa to,1
4526,4526,4527,thua theanh,0
7852,7852,7853,mid gam lạ,0
2536,2536,2537,thẩm du nè m,1
4577,4577,4578,tp vay thi cht la dung,0
3211,3211,3212,chung_kết bắn mấy trận?,0
3663,3663,3664,húc bay,0
7866,7866,7867,kiaya di admin luon,0
1010,1010,1011,whynotchao simp lỏd,0
4359,4359,4360,simp béo,2
4941,4941,4942,rumble vô_dụng,0
2307,2307,2308,nhức nhức đầu,0
5383,5383,5384,cố anh em,0
2041,2041,2042,kiến_thức đi nhảm,0
6810,6810,6811,toxic vãi lồn,1
616,616,617,"oke, mấy hàn bắt: ((",0
2253,2253,2254,ngáo,1
6396,6396,6397,cua 2,0
884,884,885,t1 vô_địch:)) yeh yeah,0
692,692,693,bắn xa_lộ_thông_tin,0
1524,1524,1525,choi game rat la tron,0
7233,7233,7234,đánh kayn sát_thủ đi,0
2366,2366,2367,pe win,0
144,144,145,kết concard,1
4265,4265,4266,rp lỏ,0
5831,5831,5832,cứu bố mày,0
3651,3651,3652,may cau xlz vay?,1
696,696,697,m4,0
5380,5380,5381,lv 2 bem admin luob,0
811,811,812,liquid đi,0
7713,7713,7714,bá đần ngày_mai,0
766,766,767,ô trì,0
1583,1583,1584,cố sài_gòn fan tôm,0
7326,7326,7327,toxic tố_cáo duyệt liền,0
5832,5832,5833,"đuối sức,",0
4858,4858,4859,phế điên,1
3350,3350,3351,đánh,0
5467,5467,5468,đi đồ đầu,0
5651,5651,5652,dame mày bắn chúng_nó,0
7166,7166,7167,"trận đấu, tui fan trung_lập thưởng_thức trọn_vẹn cặp đấu",0
61,61,62,ảnh kiếm gái,0
4249,4249,4250,rất_chi_là loằng_ngoằng,0
4651,4651,4652,,0
7434,7434,7435,thua wc kênh chat 1 gam màu,0
3091,3091,3092,bs giết,0
5446,5446,5447,đi urgot đấy,0
6573,6573,6574,chửi,0
6864,6864,6865,skip gam đánh,0
778,778,779,ối dồi ô,0
263,263,264,rên cái lồn má aba,1
7052,7052,7053,xây cầu: v,0
3931,3931,3932,mr hổ rank,0
900,900,901,bản_quyền,0
6896,6896,6897,khều ác,0
3935,3935,3936,mua mặt_nạ mana slark đấy,0
6445,6445,6446,nida kéo_dài trụ 1 19p.,0
2950,2950,2951,am chém tụt kẹc,1
3531,3531,3532,game cary magnus rp đứng bắn lật,0
2992,2992,2993,astralis 3h bắn chung_kết navi nha,0
1978,1978,1979,hq vô_địch,0
1360,1360,1361,bắn lỗi tín_hiệu heavy top 1 😆,0
7889,7889,7890,admin cấm 5 xạ_thủ,0
6982,6982,6983,"game vng, hút máu",0
2932,2932,2933,agi đầu,0
4613,4613,4614,tưởng đi săn hoá_ra kéo team chết,0
7095,7095,7096,tổ_chức giải ao làng đi,0
6029,6029,6030,mày gank,0
5705,5705,5706,toàn hlv,0
4843,4843,4844,né đi,0
3616,3616,3617,haters????,0
5102,5102,5103,mày bắn đấy,0
2785,2785,2786,-1 ngựa,0
3180,3180,3181,chet roi ping low low cai deo the,1
5248,5248,5249,đụ mẹ xanh mid,1
3003,3003,3004,awp mồm -50:)),0
1427,1427,1428,bo best of,0
2198,2198,2199,megakil,0
6274,6274,6275,tao,0
7028,7028,7029,sang_chấn:)))),0
5346,5346,5347,thằng mid,0
1720,1720,1721,cúp đuổi,0
677,677,678,phantom,0
6911,6911,6912,trao phân gửi thận,0
1209,1209,1210,0 kill vô ff,0
1244,1244,1245,4 trận kiểu chẳng 1 kill,0
624,624,625,tenz sen,0
6777,6777,6778,chậm,0
2613,2613,2614,tôm đòi giao_tranh vớibiker,0
3758,3758,3759,sven đỏ nghỉ ngài,0
2488,2488,2489,suốt bâng,0
5365,5365,5366,sp\,0
250,250,251,ảo vãi cặc,1
7437,7437,7438,nỏ tử_thủ thần_thoại?,0
2126,2126,2127,"mẹ, hẩm_hiu đối_đầu biker = _ =",1
5701,5701,5702,hành,0
6265,6265,6266,đéo tác_dụng,1
3101,3101,3102,"bướm xong, deadalus ngài",0
3585,3585,3586,góc niko,0
4388,4388,4389,"sóng nhiệt, anh em",0
6974,6974,6975,dao,0
6661,6661,6662,tank,0
5436,5436,5437,,0
5030,5030,5031,mõm aphe top1 tg cầm bón hành:))),1
5151,5151,5152,đéo,1
4926,4926,4927,"thua thua, đi thua thằng yếu wildcard 😀",0
6761,6761,6762,sủa,1
8001,8001,8002,3vy > > > cặc v,2
1608,1608,1609,coi coi đừng kêu việt nam gà,0
3277,3277,3278,combo huyền_thoại nigma kotl,0
6003,6003,6004,mal đánh đần. rank vàng,2
2935,2935,2936,đôn nết ngài đuô icon cóc,0
4675,4675,4676,vãi cả lồn m249,1
4082,4082,4083,"nguyễn_tấn cỏ, sơn lambo, lò_xo 1",0
1658,1658,1659,đánh chán,0
6036,6036,6037,2 thằng óc lồn,2
7382,7382,7383,haiz ghê,0
1913,1913,1914,heavy,0
6135,6135,6136,,0
4277,4277,4278,rush tĩnh,0
4802,4802,4803,dan`,1
42,42,43,xin lỗi =)))),1
4515,4515,4516,tha tao,0
3298,3298,3299,crit 2 bắn,0
5871,5871,5872,"heal heal, heal pick sona, soraka kiểu mấy nọi",0
7865,7865,7866,tắt đèn đi! tâm_trí: ')),0
5401,5401,5402,pa,0
362,362,363,raze đi:) hy_vọng anh_dũng,0
7753,7753,7754,tham,0
2111,2111,2112,lyly xinh,0
4555,4555,4556,toàn thua,0
586,586,587,việt_nam đầu_tư lương game mobile liên_quân free fire:)). lồn levi lương ổn,0
6938,6938,6939,,0
6894,6894,6895,dí ác,0
2459,2459,2460,sát quỷ đoàn đội,0
186,186,187,cast chầm_chậm hít đu_đủ =]],2
3011,3011,3012,bấm 2 tp lsao ngài bấm cồng_kềnh,0
7948,7948,7949,15 ff,0
6605,6605,6606,cme mày,2
5037,5037,5038,vãi lồn đồng nguyên ấn wukong đần vãi lồn =)),2
5858,5858,5859,tự_dưng anh_hùng,0
7607,7607,7608,"gửi, blv bá đuồi. chỉ_trích toxic ảnh_hưởng tinh_thần. blv msi, chứng_tỏ kỹ_năng công_nhận. nghỉ_việc",2
5320,5320,5321,lồn,1
749,749,750,t tl,0
1480,1480,1481,cháu giải comment vô văn_hoá thất_học v,2
5331,5331,5332,đẻ,0
6119,6119,6120,"se coi chiu hàng giùm tao, thò đầu_ra cắn chui lzj, chửi nhục hả anti",2
3856,3856,3857,massage thông_thạo 30,0
3244,3244,3245,,0
4095,4095,4096,nhảy max range,0
2637,2637,2638,trời thg fw cháy,0
7740,7740,7741,se nhả rồng bú,1
6004,6004,6005,sút jax,0
6054,6054,6055,1 thằng mid,0
1987,1987,1988,im_lặng đi,0
3002,3002,3003,awp đầu chết,0
5825,5825,5826,ki mu chi,1
3355,3355,3356,đánh nyx đi quanh,0
2187,2187,2188,mdh bắn chồng việt nam xong đòi thế_giới đi săn,0
6530,6530,6531,sủa lắm vãi lồn,1
5610,5610,5611,cầm yone,0
2470,2470,2471,sem hailai sử lí,0
6653,6653,6654,bá điền ngu_đần vấp ngọng líu lưỡi,2
5374,5374,5375,rồng,0
1679,1679,1680,dạy tuyển_thủ game hà,0
7541,7541,7542,huhi ngu,2
5243,5243,5244,gank nổi,0
487,487,488,@ hung nguyen game l việt nam dạo suy vãi chưởng 😀 giải đấu trở thời đồ đá lèo_tèo chục nghìn view,1
5465,5465,5466,w 12 xác,0
4476,4476,4477,thằng nyx ngài awesome,0
4166,4166,4167,ôi gay gun,0
5856,5856,5857,dame giết,0
7831,7831,7832,xiếc khỉ,0
5766,5766,5767,blue chết,0
6055,6055,6056,dnah,0
1389,1389,1390,ép góc vo roi,0
1491,1491,1492,cân 2,0
2408,2408,2409,red đánh chán. team,2
1516,1516,1517,chiến_thuật bầy đàn:),0
5764,5764,5765,mày trẻ trâu vãi cặc,2
7355,7355,7356,câu_chuyện nhắm_mắt 5p:)),0
663,663,664,chữ việt nam hả,0
6306,6306,6307,bớt ngu đi admin,2
387,387,388,eu giải trông hơi suy:)))),0
5159,5159,5160,cặc bắt sp,1
3285,3285,3286,ghệ s1mple,0
2559,2559,2560,"thay_thế chẳng hiểu sao kĩ_năng thái, indo. kĩ_năng pe tl ới indo hơi nhai",0
3153,3153,3154,con cặc town,1
1631,1631,1632,croatia vô xdichj,0
2910,2910,2911,8h bắn giao_hữu cs2,0
6818,6818,6819,tội,1
3795,3795,3796,line up khèo. bh mirana,0
2534,2534,2535,thailand 🇹🇭 7-0 🇻🇳vietnob,0
2903,2903,2904,4agi not bad awesome,0
2432,2432,2433,s view v ta,0
6387,6387,6388,huấn_luyện_viên l chất v,0
2020,2020,2021,"khoá ac rules 200 củ, game xoá vĩnh_viễn",0
7324,7324,7325,đi mid rank nhất_a,0
